Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Sports events,Philanthropy|Food Stalls|Media Sponsorship|Merchandise,86371.79|41207.78|64398.5|18534.95,17438,138074.77,182001.61,31.81
Virtual event,In Kind|Financial,16210.45|165486.22,822,152075.07,248791.83,63.6
Community and Charity events,Media Sponsorship|In Kind,65980.82|92605.85,2436,112337.77,164925.62,46.81
Festivals and fairs,Media Sponsorship,52103.78,1266,38768.96,56448.18,45.6
Sports events,Merchandise|Financial,6941.43|50363.6,46608,35537.53,48264.14,35.81
Community and Charity events,Financial|Media Sponsorship|Food Stalls|In Kind,145639.76|26638.93|8098.51|45407.22,603,149938.77,239525.73,59.75
Community and Charity events,In Kind|Philanthropy|Media Sponsorship|Merchandise|Food Stalls,19288.66|6766.69|91669.81|15747.67|21556.45,940,132582.86,223437.74,68.53
Virtual event,Influencer|Influencer|Media Sponsorship|Merchandise|Influencer,39425.54|74040.21|30673.32|12153.78|58553.42,8295,183862.19,348958.0,89.79
Entertainment and media events,Food Stalls|Merchandise|Food Stalls|Financial|Food Stalls,25799.41|14345.98|26880.24|135014.52|41224.05,28604,192098.75,319407.57,66.27
Conferences and seminars,Philanthropy|Merchandise,48275.3|30215.15,2905,63359.37,81002.93,27.85
Virtual event,Philanthropy|Influencer|Financial|In Kind,64479.57|79749.91|41970.03|78236.53,1343,236101.5,418131.76,77.1
Entertainment and media events,Financial,28467.28,41077,21318.44,24696.91,15.85
Entertainment and media events,Financial|Philanthropy|Influencer|Food Stalls,43289.51|3326.61|23891.6|46389.94,13612,103109.7,138827.2,34.64
Entertainment and media events,Merchandise|Influencer,5584.01|57526.66,41278,40121.5,67037.72,67.09
Sports events,Philanthropy,18000.28,93515,11148.29,16473.69,47.77
Sports events,Influencer,20099.47,61080,16942.64,25289.25,49.26
Community and Charity events,Merchandise|In Kind|Media Sponsorship,40740.7|12855.99|17944.78,4515,49613.02,55549.78,11.97
Festivals and fairs,Food Stalls,17637.68,33021,11585.38,12833.43,10.77
Sports events,In Kind|Philanthropy|Financial,54034.13|60249.98|188557.98,87416,218346.54,357394.83,63.68
Conferences and seminars,Financial,133319.52,3382,103577.59,117873.38,13.8
Festivals and fairs,Media Sponsorship|In Kind|Influencer|Food Stalls|Media Sponsorship,57127.11|30291.19|65791.25|20698.39|10681.91,26209,143054.44,175436.29,22.64
Festivals and fairs,In Kind|Influencer|In Kind|Philanthropy,22880.59|56215.72|8009.66|92813.55,86231,116921.13,180939.55,54.75
Sports events,In Kind|Financial|Food Stalls|In Kind,89110.64|103278.28|8230.53|31249.26,5427,195129.4,245397.94,25.76
Entertainment and media events,Media Sponsorship|Influencer|Food Stalls,8227.66|61403.0|23414.31,43949,62861.14,109554.38,74.28
Community and Charity events,Food Stalls|Food Stalls|Influencer|Financial|Food Stalls,35787.7|1204.47|51901.26|117176.53|6192.5,4774,174861.15,255813.48,46.3
Sports events,Media Sponsorship,3474.37,42261,2223.92,2899.62,30.38
Sports events,Merchandise|Philanthropy|Philanthropy|Media Sponsorship,41550.54|15167.77|10168.48|27467.23,43791,66680.6,101428.44,52.11
Conferences and seminars,Philanthropy|Influencer,77262.73|38948.93,301,92162.37,162679.61,76.51
Conferences and seminars,Influencer|Influencer|Media Sponsorship,38392.72|36060.86|58206.86,158,101910.56,137039.59,34.47
Community and Charity events,Influencer|Merchandise|Media Sponsorship|Media Sponsorship,18978.49|48798.65|84401.92|97938.24,1091,184140.86,220385.22,19.68
Conferences and seminars,Media Sponsorship|Media Sponsorship|Financial|In Kind,68514.62|80502.36|167765.72|82877.37,2475,258501.38,384729.75,48.83
Sports events,In Kind|Philanthropy,93113.33|18964.9,40153,90345.92,123617.01,36.83
Entertainment and media events,In Kind,60789.87,4672,44329.39,67968.25,53.33
Sports events,Merchandise,25542.34,84658,22252.69,34645.37,55.69
Sports events,Influencer|Influencer|Philanthropy|Philanthropy,6577.82|44238.33|40867.68|95887.57,92122,157990.22,203172.81,28.6
Festivals and fairs,In Kind|Financial,4071.54|163678.59,28586,118674.87,188944.71,59.21
Community and Charity events,Philanthropy,71578.65,627,62096.07,119408.51,92.3
Community and Charity events,In Kind|In Kind,31828.95|10165.15,3519,32652.49,51949.62,59.1
Community and Charity events,Media Sponsorship|Merchandise,73891.19|42389.38,3268,92732.24,171044.18,84.45
Festivals and fairs,Food Stalls|Financial|Philanthropy,5933.29|174890.37|65789.26,87819,192393.37,272715.72,41.75
Entertainment and media events,Influencer|Influencer|Financial|Merchandise|Food Stalls,65825.87|40898.47|109492.25|17352.38|27599.95,559,163044.96,205488.44,26.03
Virtual event,Media Sponsorship,58693.05,6498,50955.5,98436.08,93.18
Entertainment and media events,Merchandise|Influencer|In Kind,28956.89|71678.68|71320.49,13151,126399.23,177997.06,40.82
Community and Charity events,Influencer,50704.19,1270,40410.92,44708.89,10.64
Sports events,In Kind,13669.1,61646,10069.6,13326.58,32.34
Entertainment and media events,Financial,139383.51,46161,106369.58,133730.47,25.72
Virtual event,Merchandise|Financial|Philanthropy|Merchandise|Philanthropy,20919.23|173500.61|51299.86|14532.12|74535.03,4843,201083.98,253807.14,26.22
Virtual event,Financial|Influencer|Financial,177164.57|45106.27|18100.05,6766,206275.59,408075.46,97.83
Entertainment and media events,Media Sponsorship|Media Sponsorship|In Kind|Philanthropy,82303.2|33992.7|29045.82|32299.07,14059,140995.31,243711.08,72.85
Conferences and seminars,In Kind,99940.3,1819,86587.61,118957.47,37.38
Sports events,Philanthropy|Merchandise|In Kind,86593.44|47314.88|7285.78,70940,116457.03,194150.87,66.71
Community and Charity events,In Kind|Financial,13051.38|56567.51,2018,50086.52,78869.78,57.47
Entertainment and media events,Philanthropy|Merchandise|Influencer,1876.43|11675.7|51093.88,5401,54600.55,84285.78,54.37
Conferences and seminars,Financial|Philanthropy|Influencer,68038.06|64272.71|61159.04,3760,156250.33,308902.6,97.7
Festivals and fairs,Food Stalls|Philanthropy|In Kind,18141.26|91419.93|54078.33,51260,114371.63,182633.4,59.68
Festivals and fairs,In Kind|Influencer|Financial|Financial,37682.36|58297.79|66713.53|135757.44,81582,187939.48,351828.88,87.2
Conferences and seminars,Media Sponsorship|In Kind|Food Stalls,16273.04|94504.77|37658.39,1174,114864.64,224957.51,95.85
Sports events,Merchandise|Philanthropy|Influencer|Media Sponsorship|Food Stalls,45878.92|72615.03|44134.46|63773.29|16855.39,8760,155321.84,205732.35,32.46
Festivals and fairs,Influencer,25111.86,59732,21152.76,31932.19,50.96
Virtual event,Philanthropy|In Kind|Philanthropy|Media Sponsorship|In Kind,31627.45|23903.15|4396.15|92735.07|68765.83,6132,151113.72,223571.34,47.95
Virtual event,Philanthropy,61380.31,7796,41937.11,65077.36,55.18
Festivals and fairs,Food Stalls,14464.03,56621,12690.82,18134.42,42.89
Virtual event,Philanthropy|In Kind|Merchandise,95572.72|70687.81|38743.88,9276,174633.17,317735.25,81.94
Sports events,Merchandise,36241.8,90916,23016.38,37587.63,63.31
Community and Charity events,Food Stalls|Influencer,18718.19|69237.63,1444,65548.25,118555.54,80.87
Festivals and fairs,Merchandise|Philanthropy|Media Sponsorship|In Kind,4666.81|79260.54|78403.55|92895.62,35968,214854.05,320908.44,49.36
Festivals and fairs,Philanthropy|Media Sponsorship|Philanthropy,12107.18|92952.9|24949.82,4864,114198.94,162943.57,42.68
Festivals and fairs,Media Sponsorship|Financial|Financial|In Kind|Food Stalls,78647.79|9004.94|172682.0|57066.58|20021.58,33330,284382.4,427968.49,50.49
Community and Charity events,Philanthropy|Food Stalls|In Kind|Philanthropy,82191.12|42284.26|7883.76|59665.84,2674,121061.71,179271.41,48.08
Sports events,Philanthropy|Influencer|Philanthropy|Media Sponsorship|In Kind,55346.18|25225.41|62059.55|5925.26|47097.08,88761,175138.27,278093.7,58.79
Sports events,Philanthropy,2212.28,9132,1411.03,2150.52,52.41
Community and Charity events,Financial|Media Sponsorship|Financial|Financial|Influencer,167012.99|10831.83|184549.43|90334.5|43666.63,2593,375010.88,491738.25,31.13
Sports events,Financial|Merchandise|Philanthropy|Financial,20116.13|15593.39|11245.66|46922.2,61633,80858.21,90633.73,12.09
Sports events,Merchandise|Food Stalls,26615.41|26381.59,21674,37795.46,47080.94,24.57
Virtual event,Media Sponsorship|Philanthropy|Philanthropy|Media Sponsorship,41897.76|95671.34|68855.01|77726.7,8184,233909.06,341522.38,46.01
Virtual event,Financial,35790.61,8951,30549.04,54563.7,78.61
Conferences and seminars,Financial,22051.32,1600,13806.75,17800.97,28.93
Sports events,Financial,70130.65,14643,45086.09,79066.92,75.37
Festivals and fairs,Merchandise|Food Stalls|Influencer|Influencer|Financial,13451.29|29164.5|30846.73|13426.96|149041.95,63243,182955.84,334290.03,82.72
Conferences and seminars,Media Sponsorship|Philanthropy,26948.81|20969.05,1670,42970.75,49905.71,16.14
Entertainment and media events,In Kind|In Kind|Financial,21064.64|94906.35|3810.69,38654,96094.58,116751.02,21.5
Entertainment and media events,Philanthropy|In Kind|Media Sponsorship|Food Stalls,50884.89|65675.54|79092.65|19892.97,22384,156218.03,226908.74,45.25
Conferences and seminars,Philanthropy|Philanthropy|In Kind,15982.35|7109.26|77634.76,650,79394.38,125225.17,57.73
Virtual event,Financial|In Kind|Financial|Influencer,69847.9|95317.65|194188.05|92958.65,2259,344042.08,607818.87,76.67
Conferences and seminars,Food Stalls|Financial|Food Stalls|In Kind|Financial,48937.03|23105.12|3172.11|21982.85|160967.02,4579,165256.64,315342.05,90.82
Conferences and seminars,In Kind|Food Stalls|Financial|Media Sponsorship,42381.88|28083.84|140893.91|14615.23,4995,190365.04,217878.12,14.45
Conferences and seminars,Food Stalls,20110.15,2156,12956.42,22777.71,75.8
Sports events,Influencer|Philanthropy|In Kind|Merchandise|Media Sponsorship,33896.18|68560.91|66598.88|6634.03|10255.28,43258,157692.6,261828.17,66.04
Festivals and fairs,Influencer,18714.39,92590,13263.29,21586.13,62.75
Festivals and fairs,In Kind|Merchandise,54272.26|43177.31,30335,79873.67,143569.98,79.75
Community and Charity events,Philanthropy|Merchandise,9658.38|38593.64,1699,42347.76,59534.28,40.58
Community and Charity events,Merchandise,21592.27,3311,17567.26,34842.75,98.34
Festivals and fairs,Media Sponsorship|Financial|Financial|Food Stalls,74623.19|83743.86|36713.46|22410.82,18737,131382.57,178005.23,35.49
Festivals and fairs,Merchandise|Philanthropy|Philanthropy,42953.52|66708.57|40329.99,21427,91324.0,115094.66,26.03
Sports events,Media Sponsorship|Merchandise|Financial,56325.47|28518.89|17413.84,29417,82607.6,164173.45,98.74
Entertainment and media events,Financial|Merchandise|Merchandise|In Kind,172152.68|37925.45|9500.99|96308.36,41627,269885.2,331092.49,22.68
Entertainment and media events,Financial|In Kind|Influencer,134890.87|62685.99|28602.03,27380,203403.74,387459.21,90.49
Sports events,Philanthropy,79646.62,44028,62978.42,109637.88,74.09
Virtual event,Philanthropy|Financial|In Kind|Financial|Merchandise,84024.11|2185.07|76255.03|27059.15|24219.11,7370,181844.3,306499.48,68.55
Virtual event,Financial|Financial|Influencer|Media Sponsorship|Financial,14081.01|158205.23|32708.42|41555.48|146220.81,1879,316628.07,499147.89,57.64
Festivals and fairs,Philanthropy|Influencer,89125.98|55077.32,91113,105514.79,183432.2,73.85
Community and Charity events,Influencer|Philanthropy|Philanthropy,98287.08|20783.47|63181.5,4274,160169.78,317327.39,98.12
Community and Charity events,Food Stalls|Philanthropy|Merchandise,45669.13|30765.86|49045.15,4890,104375.58,182658.35,75.0
Virtual event,Philanthropy|In Kind|Media Sponsorship,16279.87|87149.09|64047.83,8355,113177.15,186001.92,64.35
Sports events,Philanthropy|In Kind,23586.71|93524.03,13641,100458.93,135115.23,34.5
Sports events,Food Stalls,1494.94,4368,993.13,1952.26,96.58
Community and Charity events,Food Stalls|Media Sponsorship,29483.99|17111.02,345,39676.89,73892.71,86.24
Community and Charity events,Influencer|Financial,79251.05|131902.3,2177,149023.98,200677.84,34.66
Virtual event,Philanthropy|In Kind|Merchandise|Influencer,26463.42|86064.48|48224.63|64720.24,6429,152625.11,172406.19,12.96
Community and Charity events,Financial|Influencer|Influencer,29436.32|69985.94|40422.37,211,84212.24,151564.56,79.98
Festivals and fairs,In Kind|Philanthropy|Merchandise|Media Sponsorship|Food Stalls,93341.71|85807.22|38618.54|70191.22|37371.98,90212,212911.15,388762.04,82.59
Sports events,Media Sponsorship|Merchandise|Merchandise,85877.34|37055.78|3204.32,87280,79352.9,154917.06,95.23
Conferences and seminars,Philanthropy|Merchandise|Media Sponsorship,22435.33|19608.86|13329.58,2311,40467.92,63485.66,56.88
Festivals and fairs,Food Stalls|Influencer,14756.0|55477.81,21884,57811.52,111943.69,93.64
Sports events,In Kind|Merchandise,29125.55|39817.74,68336,61796.23,88210.72,42.74
Festivals and fairs,In Kind|In Kind|Financial,68958.01|45705.56|111390.8,92897,168797.35,318387.29,88.62
Conferences and seminars,Media Sponsorship,14213.36,4607,9368.8,17296.94,84.62
Festivals and fairs,Financial|Influencer|Food Stalls|Financial,166248.31|85403.15|7850.42|178685.69,37964,274214.06,548165.21,99.9
Entertainment and media events,Merchandise|Influencer|Influencer|Food Stalls|Influencer,47812.33|1253.17|25496.77|24892.76|7270.8,44868,72792.3,102486.74,40.79
