Event Type,Expected Footfall,Number of Sponsors,Ticket Price,Sponsor Type,Sponsor Cost,Sponsor Revenue,Sponsor ROI
Sports events,84806,2,876.2,Financial,180511.89,361023.78,100
Sports events,84806,2,876.2,Philanthropy,2321.2,4642.4,100
Entertainment and media events,44605,3,26961.62,Philanthropy,1283.4,2566.8,100
Entertainment and media events,44605,3,26961.62,Media Sponsorship,16487.66,32975.32,100
Entertainment and media events,44605,3,26961.62,Financial,53722.87,107445.74,100
Sports events,80474,2,850.76,Influencer,83165.9,166331.8,100
Sports events,80474,2,850.76,Merchandise,29041.37,58082.74,100
Sports events,51303,1,931.48,In Kind,8059.39,16118.78,100
Sports events,81856,2,536.99,Merchandise,25640.72,51281.44,100
Sports events,81856,2,536.99,Merchandise,38556.59,73870.56,91.59
Entertainment and media events,21632,1,98555.3,Influencer,7227.7,14455.4,100
Conferences and seminars,2581,4,805.81,Merchandise,42851.42,79159.45,84.73
Conferences and seminars,2581,4,805.81,Financial,71112.57,142225.14,100
Conferences and seminars,2581,4,805.81,Food Stalls,26577.15,51234.39,92.78
Conferences and seminars,2581,4,805.81,Financial,13789.68,27579.36,100
Community and Charity events,4693,2,195.15,Food Stalls,16877.48,21212.99,25.69
Community and Charity events,4693,2,195.15,Influencer,44632.53,89265.06,100
Community and Charity events,3318,3,295.8,Food Stalls,16542.25,25405.65,53.58
Community and Charity events,3318,3,295.8,Influencer,71029.94,119717.14,68.54
Community and Charity events,3318,3,295.8,In Kind,95830.26,138658.44,44.69
Virtual event,8083,5,0,Media Sponsorship,69083.64,134978.9,95.38
Virtual event,8083,5,0,Merchandise,1629.95,3088.02,89.45
Virtual event,8083,5,0,Financial,180757.02,361514.04,100
Virtual event,8083,5,0,Media Sponsorship,58712.94,117425.88,100
Virtual event,8083,5,0,Merchandise,6590.06,13180.12,100
Entertainment and media events,31032,5,58180.06,Food Stalls,44486.18,88972.36,100
Entertainment and media events,31032,5,58180.06,In Kind,99503.93,199007.86,100
Entertainment and media events,31032,5,58180.06,Philanthropy,87520.37,175040.74,100
Entertainment and media events,31032,5,58180.06,Influencer,39784.28,79568.56,100
Entertainment and media events,31032,5,58180.06,In Kind,34400.36,68800.72,100
Festivals and fairs,40852,5,0,Philanthropy,67067.78,134135.56,100
Festivals and fairs,40852,5,0,Media Sponsorship,72899.5,145799.0,100
Festivals and fairs,40852,5,0,Influencer,76459.01,152918.02,100
Festivals and fairs,40852,5,0,Financial,14045.62,28091.24,100
Festivals and fairs,40852,5,0,Food Stalls,20336.39,38436.49,89.0
Festivals and fairs,28163,1,0,Food Stalls,3029.77,6059.54,100
Virtual event,4481,2,0,Influencer,57564.33,105939.31,84.04
Virtual event,4481,2,0,Influencer,40504.41,81008.82,100
Sports events,49081,2,183.21,Food Stalls,20077.45,40154.9,100
Sports events,49081,2,183.21,In Kind,23098.24,46196.48,100
Conferences and seminars,3529,2,368.97,Merchandise,13971.27,24263.53,73.67
Conferences and seminars,3529,2,368.97,Media Sponsorship,57173.13,114346.26,100
Entertainment and media events,41485,3,52008.08,Media Sponsorship,98651.95,197303.9,100
Entertainment and media events,41485,3,52008.08,Media Sponsorship,70219.28,140438.56,100
Entertainment and media events,41485,3,52008.08,Food Stalls,12162.31,24324.62,100
Festivals and fairs,67158,5,0,Merchandise,25377.71,50755.42,100
Festivals and fairs,67158,5,0,Financial,199452.46,398904.92,100
Festivals and fairs,67158,5,0,Food Stalls,34862.89,65326.23,87.38
Festivals and fairs,67158,5,0,Food Stalls,25022.42,47739.43,90.79
Festivals and fairs,67158,5,0,Influencer,27466.41,54932.82,100
Virtual event,4754,3,0,Financial,144510.13,289020.26,100
Virtual event,4754,3,0,Philanthropy,73478.29,133083.32,81.12
Virtual event,4754,3,0,Merchandise,7910.82,13441.56,69.91
Virtual event,8910,5,0,Media Sponsorship,12988.77,25977.54,100
Virtual event,8910,5,0,Media Sponsorship,80670.1,161340.2,100
Virtual event,8910,5,0,In Kind,90319.98,180639.96,100
Virtual event,8910,5,0,Philanthropy,57224.0,93003.47,62.53
Virtual event,8910,5,0,Philanthropy,52547.29,97434.79,85.42
Entertainment and media events,19764,5,45341.76,Merchandise,25026.5,42540.71,69.98
Entertainment and media events,19764,5,45341.76,Merchandise,48487.41,96974.82,100
Entertainment and media events,19764,5,45341.76,In Kind,35623.56,68665.81,92.75
Entertainment and media events,19764,5,45341.76,Merchandise,14552.33,29104.66,100
Entertainment and media events,19764,5,45341.76,Philanthropy,79151.91,125048.64,57.99
Entertainment and media events,19489,2,10784.09,Food Stalls,47805.17,95610.34,100
Entertainment and media events,19489,2,10784.09,Financial,192157.99,384315.98,100
Sports events,62700,2,834.19,Food Stalls,3034.23,6068.46,100
Sports events,62700,2,834.19,Influencer,3091.37,6182.74,100
Conferences and seminars,4522,1,259.67,Financial,13814.91,27629.82,100
Virtual event,9522,1,0,Philanthropy,90161.5,160618.09,78.14
Community and Charity events,3164,1,254.23,Media Sponsorship,60176.13,120352.26,100
Sports events,82583,5,648.34,Philanthropy,48409.14,96818.28,100
Sports events,82583,5,648.34,In Kind,6306.0,12612.0,100
Sports events,82583,5,648.34,Merchandise,9114.94,18229.88,100
Sports events,82583,5,648.34,Financial,92973.99,185947.98,100
Sports events,82583,5,648.34,Media Sponsorship,78882.86,157765.72,100
Virtual event,2324,2,0,Merchandise,28924.46,46651.44,61.29
Virtual event,2324,2,0,In Kind,34845.23,54909.88,57.58
Festivals and fairs,86380,4,0,In Kind,17013.69,34027.38,100
Festivals and fairs,86380,4,0,Food Stalls,27036.04,51650.63,91.04
Festivals and fairs,86380,4,0,Influencer,38091.57,76183.14,100
Festivals and fairs,86380,4,0,Merchandise,1236.57,2218.52,79.41
Virtual event,6253,3,0,In Kind,82051.52,134881.39,64.39
Virtual event,6253,3,0,Merchandise,24433.59,48867.18,100
Virtual event,6253,3,0,Financial,7022.54,14045.08,100
Community and Charity events,869,5,696.4,Financial,138480.27,161459.03,16.59
Community and Charity events,869,5,696.4,In Kind,44660.16,44660.16,0
Community and Charity events,869,5,696.4,Financial,55056.58,55056.58,0
Community and Charity events,869,5,696.4,Philanthropy,96036.61,96036.61,0
Community and Charity events,869,5,696.4,Media Sponsorship,89406.5,89406.5,0
Festivals and fairs,71017,2,0,Media Sponsorship,72256.28,144512.56,100
Festivals and fairs,71017,2,0,Media Sponsorship,58297.46,116594.92,100
Virtual event,9494,2,0,Philanthropy,42429.8,83288.18,96.3
Virtual event,9494,2,0,Financial,129845.26,259690.52,100
Community and Charity events,633,4,375.03,Influencer,26969.62,26969.62,0
Community and Charity events,633,4,375.03,Food Stalls,31746.17,31746.17,0
Community and Charity events,633,4,375.03,Influencer,97306.13,97306.13,0
Community and Charity events,633,4,375.03,In Kind,67874.56,67874.56,0
Festivals and fairs,30013,3,0,Food Stalls,29344.49,58688.98,100
Festivals and fairs,30013,3,0,Financial,29704.31,59408.62,100
Festivals and fairs,30013,3,0,Financial,29075.42,58150.84,100
Virtual event,2016,5,0,Financial,153185.53,306371.06,100
Virtual event,2016,5,0,Media Sponsorship,98067.35,196134.7,100
Virtual event,2016,5,0,Merchandise,29405.56,58811.12,100
Virtual event,2016,5,0,Philanthropy,57973.26,82135.84,41.68
Virtual event,2016,5,0,Media Sponsorship,56469.18,96107.4,70.19
Virtual event,7477,3,0,Philanthropy,31610.64,57239.12,81.08
Virtual event,7477,3,0,In Kind,15063.08,27435.51,82.14
Virtual event,7477,3,0,Philanthropy,19897.41,38586.86,93.93
Community and Charity events,4550,2,998.52,In Kind,5958.66,7669.25,28.71
Community and Charity events,4550,2,998.52,Food Stalls,8665.0,10372.84,19.71
Entertainment and media events,11585,3,3442.99,Influencer,50331.64,100663.28,100
Entertainment and media events,11585,3,3442.99,Food Stalls,10976.46,21952.92,100
Entertainment and media events,11585,3,3442.99,Influencer,16403.69,32807.38,100
Entertainment and media events,10196,4,20025.82,In Kind,75202.34,150404.68,100
Entertainment and media events,10196,4,20025.82,Influencer,14245.57,28491.14,100
Entertainment and media events,10196,4,20025.82,Food Stalls,43513.84,87027.68,100
Entertainment and media events,10196,4,20025.82,Influencer,33075.39,66150.78,100
Festivals and fairs,16678,4,0,Influencer,27075.36,54150.72,100
Festivals and fairs,16678,4,0,Influencer,88547.64,177095.28,100
Festivals and fairs,16678,4,0,Food Stalls,40449.65,80899.3,100
Festivals and fairs,16678,4,0,Financial,100139.4,200278.8,100
Sports events,66176,1,545.97,Merchandise,44045.57,88091.14,100
Conferences and seminars,4678,1,821.78,Influencer,37323.95,66084.11,77.06
Conferences and seminars,2125,3,308.52,Financial,96300.74,192601.48,100
Conferences and seminars,2125,3,308.52,In Kind,67781.07,91895.57,35.58
Conferences and seminars,2125,3,308.52,Influencer,8947.75,17895.5,100
Festivals and fairs,36903,4,0,Financial,145877.97,291755.94,100
Festivals and fairs,36903,4,0,Philanthropy,20756.34,41512.68,100
Festivals and fairs,36903,4,0,Food Stalls,6489.94,12979.88,100
Festivals and fairs,36903,4,0,Philanthropy,55330.55,110661.1,100
Entertainment and media events,25371,1,43641.0,Food Stalls,24342.57,48685.14,100
Conferences and seminars,2720,1,514.51,Influencer,72228.19,144456.38,100
Conferences and seminars,963,3,673.93,In Kind,70214.86,81044.78,15.42
Conferences and seminars,963,3,673.93,Food Stalls,24547.5,24547.5,0
Conferences and seminars,963,3,673.93,Food Stalls,34395.01,43329.51,25.98
Sports events,27516,3,442.11,In Kind,96553.91,189250.53,96.01
Sports events,27516,3,442.11,Philanthropy,40711.48,81422.96,100
Sports events,27516,3,442.11,Influencer,41337.54,82675.08,100
Community and Charity events,2699,3,317.48,In Kind,28918.06,30014.47,3.79
Community and Charity events,2699,3,317.48,Food Stalls,14286.45,28572.9,100
Community and Charity events,2699,3,317.48,Financial,115496.65,230993.3,100
Festivals and fairs,37944,1,0,Influencer,76344.82,152689.64,100
Community and Charity events,4406,1,113.7,Food Stalls,26626.42,32100.3,20.56
Sports events,47074,1,163.22,Media Sponsorship,72389.02,144778.04,100
Entertainment and media events,38630,3,59097.49,Philanthropy,7698.82,15397.64,100
Entertainment and media events,38630,3,59097.49,Philanthropy,36874.54,73749.08,100
Entertainment and media events,38630,3,59097.49,Food Stalls,31358.8,51973.49,65.74
Festivals and fairs,7778,5,0,Media Sponsorship,33627.06,67254.12,100
Festivals and fairs,7778,5,0,In Kind,30575.13,61150.26,100
Festivals and fairs,7778,5,0,Merchandise,48197.7,96395.4,100
Festivals and fairs,7778,5,0,Media Sponsorship,22230.4,44460.8,100
Festivals and fairs,7778,5,0,Media Sponsorship,56322.59,112645.18,100
Entertainment and media events,32857,3,92078.26,Food Stalls,13021.92,21790.47,67.34
Entertainment and media events,32857,3,92078.26,Food Stalls,30518.37,61036.74,100
Entertainment and media events,32857,3,92078.26,Food Stalls,43368.44,86736.88,100
Conferences and seminars,4798,4,550.57,In Kind,9491.02,13244.05,39.54
Conferences and seminars,4798,4,550.57,In Kind,37104.41,74208.82,100
Conferences and seminars,4798,4,550.57,In Kind,88911.23,168167.21,89.14
Conferences and seminars,4798,4,550.57,Media Sponsorship,16289.99,30079.87,84.65
Sports events,76292,4,524.95,Financial,29448.54,58897.08,100
Sports events,76292,4,524.95,Influencer,37000.79,74001.58,100
Sports events,76292,4,524.95,Merchandise,20276.13,37179.17,83.36
Sports events,76292,4,524.95,Financial,51161.53,102323.06,100
Sports events,5350,2,880.84,Merchandise,16172.02,32344.04,100
Sports events,5350,2,880.84,Philanthropy,38035.44,76070.88,100
Festivals and fairs,69475,2,0,Philanthropy,23029.26,46058.52,100
Festivals and fairs,69475,2,0,Food Stalls,22410.38,44820.76,100
Entertainment and media events,7348,5,75381.56,In Kind,28495.58,50565.07,77.45
Entertainment and media events,7348,5,75381.56,Media Sponsorship,12183.21,24366.42,100
Entertainment and media events,7348,5,75381.56,Media Sponsorship,59026.99,118053.98,100
Entertainment and media events,7348,5,75381.56,Philanthropy,76000.18,121223.27,59.5
Entertainment and media events,7348,5,75381.56,Financial,42036.35,84072.7,100
Community and Charity events,2002,5,179.43,Food Stalls,1111.68,1591.84,43.19
Community and Charity events,2002,5,179.43,In Kind,89020.11,101451.62,13.96
Community and Charity events,2002,5,179.43,Food Stalls,24265.31,34732.46,43.14
Community and Charity events,2002,5,179.43,Merchandise,31285.46,62570.92,100
Community and Charity events,2002,5,179.43,Financial,130113.9,260227.8,100
Festivals and fairs,49605,2,0,Media Sponsorship,95103.88,190207.76,100
Festivals and fairs,49605,2,0,Financial,74785.4,149570.8,100
Virtual event,5664,1,0,In Kind,89127.69,144258.05,61.86
Festivals and fairs,37280,1,0,Merchandise,13792.15,26702.48,93.61
Virtual event,4803,4,0,Media Sponsorship,48269.57,78029.08,61.65
Virtual event,4803,4,0,Influencer,3996.51,7993.02,100
Virtual event,4803,4,0,Philanthropy,39825.19,63769.05,60.12
Virtual event,4803,4,0,Financial,146455.38,265742.64,81.45
Community and Charity events,1682,3,123.48,Merchandise,24055.6,42072.21,74.9
Community and Charity events,1682,3,123.48,Influencer,52893.92,92630.37,75.12
Community and Charity events,1682,3,123.48,Philanthropy,18664.5,30113.34,61.34
Entertainment and media events,24105,1,81610.66,Merchandise,33255.46,66510.92,100
Virtual event,6817,1,0,Financial,9810.21,19620.42,100
Festivals and fairs,80210,3,0,Financial,36175.3,72350.6,100
Festivals and fairs,80210,3,0,Financial,74967.77,149935.54,100
Festivals and fairs,80210,3,0,In Kind,55146.68,110293.36,100
Festivals and fairs,85257,5,0,Merchandise,3046.62,6093.24,100
Festivals and fairs,85257,5,0,In Kind,75285.95,150571.9,100
Festivals and fairs,85257,5,0,Influencer,78872.06,157744.12,100
Festivals and fairs,85257,5,0,Media Sponsorship,74470.52,148941.04,100
Festivals and fairs,85257,5,0,Media Sponsorship,25730.37,51460.74,100
Virtual event,515,3,0,Influencer,57337.46,57337.46,0
Virtual event,515,3,0,In Kind,94308.44,94308.44,0
Virtual event,515,3,0,Philanthropy,52372.56,52372.56,0
